"8173928","abate","(v.) become less in amount or intensity","Your enthusiasm for skiing might abate after falling off a ski lift and getting a mouthful of snow."
"8173929","chicanery","(n.) the use of tricks to deceive someone","This tricky kind of deceit and manipulation is called chicanery."
"8173930","disseminate","(v.) cause to become widely known","He said it appeared the killer was inspired by extremist information disseminated over the internet."
"8173931","gainsay","(v.) take exception to","Mr Xi can present himself as one of Hu’s ideological successors and nobody dares gainsay him."
"8173932","latent","(adj.) potentially existing but not presently evident or realized","There's deep-seated concern about immigration, and some of that is latent racism."
"8173933","aberrant","(adj.) markedly different from an accepted norm","We are also killing thousands of cougars every year, and this is creating chaos in their societies and promoting some of these aberrant individuals."
"8173934","coagulate","(v.) change from a liquid to a thickened or solid state","The next morning, there is coagulated blood under the skin on her breast."
"8173935","dissolution","(n.) separation into component parts","The dissolution of your band means you better get started on your solo album."
"8173936","garrulous","(adj.) full of trivial conversation","A garrulous person just won’t stop talking (and talking, and talking, and talking...)."
"8173937","laud","(v.) praise, glorify, or honor","They were being lauded as perhaps the best basketball team ever."
"8173938","goad","(v.) stab or urge on as if with a pointed stick","The drunken posturing is more than enough to provoke reactions from local police, and to goad more determined opposition into action."
"8173939","abeyance","(n.) temporary cessation or suspension","Odor and Bautista have appealed their discipline, which will be held in abeyance pending a resolution."
"8173940","coda","(n.) the closing section of a musical composition","A coda is a concluding segment of a piece of music, a dance, or a statement."
"8173941","dissonance","(n.) disagreeable sounds","Disagreeable sounds can be called dissonance."
"8173942","lethargic","(adj.) deficient in alertness or activity","Gray appeared “lethargic” but was breathing normally and didn’t appear to need a hospital, Porter said."
"8173943","abscond","(v) run away","Sanchez was being sought after he absconded from parole."
"8173944","cogent","(adj.) powerfully persuasive","When you make a cogent argument, it means your argument is clear and persuasive."
"8173945","distend","(v.) cause to expand as it by internal pressure","A soda and pizza binge might make your stomach distend, meaning your stomach will swell as a result of pressure from the inside."
"8173946","gouge","(v.) an impression in a surface, as made by a blow","To gouge can mean to make a hole or dent in something, or to swindle or steal by overcharging."
"8173947","levee","(n.) an embankment that is built in order to prevent a river from overflowing","Army Corps of Engineers has rated the flood control system as inadequate, in part because of work done on property bordering the levees."
"8173948","abstemious","(adj.) marked by temperance in indulgence","A rock musician may sing about enjoying wine and women, but in his private life he may be abstemious."
"8173949","commensurate","(adj.) similar in size or degree or extent","Many people think the death penalty is a commensurate punishment for murder. In other words, the penalty fits the crime."
"8173950","distill","(v.)  undergo condensation","When you distill something, you are boiling it down to its essence — its most important part."
"8173951","grandiloquent","(adj.) lofty in style; puffed up with vanity","Trump was grandiloquent about himself, his temperament and his ability to serve."
"8173952","levity","(n.) a manner lacking seriousness","Joking that your dead grandmother ""never looked better"" could inject some levity, or frivolity, into her funeral, but your relatives might find your joke inappropriate to the occasion."
"8173953","admonish","(v.) scold or reprimand; take to task","To admonish is to scold.If you want to show someone you're not happy with his behavior, admonish him. It sounds better than ""scolding,"" and it's less painful than spanking."
"8173954","compendium","(n.) a publication containing a variety of works","When you search an online encyclopedia, you are searching a compendium of information on just about everything."
"8173955","diverge","(v.) move or draw apart","When two roads diverge, they split and go in different directions."
"8173956","gregarious","(adj.) temperamentally seeking and enjoying the company of others","If you know someone who's outgoing, sociable, and fond of the company of others, you might want to call her gregarious."
"8173957","log","(v.) a segment of the trunk of a tree when stripped of branches","A log is the trunk of a tree minus the branches: logging is cutting down trees. A log is also a written record of something, and logging is keeping such a record."
"8173958","adulterate","(v.) make impure by adding a foreign or inferior substance","They found 22 percent were adulterated;"
"8173959","complaisant","(adj.) showing a cheerful willingness to do favors for others","If only the world were populated entirely with complaisant people!"
"8173960","divest","(v.) take away possessions from someone","It could be your wine portfolio, your stake in a mining company, or even the extra coats that are taking up space in your closet. Whatever it is, when you divest something, you get rid of it."
"8173961","guileless","(adj.) free of deceit","He’s earnest and guileless, which may not make for a believable undercover agent, but who cares?"
"8173962","loquacious","(adj.) full of trivial conversation","A loquacious person talks a lot, often about stuff that only they think is interesting."
"8173963","aesthetic","(adj.) characterized by an appreciation of beauty or good taste","A velvet painting of dogs playing poker might have minimal aesthetic appeal."
"8173964","compliant","(adj.) disposed to act in accordance with someone's wishes","If you are willing to submit to someone's request, then you are compliant. Parents like it when their teenagers are compliant and follow the rules. Teenagers, on the other hand, are probably not as compliant as parents would like to think!"
"8173965","document","(n.) a representation of a person's thinking with symbolic marks","A document is a piece of paper that contains official information."
"8173966","gullible","(adj.) naive and easily deceived or tricked","If you are gullible, the joke is on you because you are easily fooled."
"8173967","lucid","(adj.) transparently clear; easily understandable","Lucid writing is important in journalism, so that readers easily get the point of the article they're reading."
"8173968","aggregate","(n.) a sum total of many heterogeneous things taken together","If you're writing a novel, you might create a character who is an aggregate of five or six real people."
"8173969","conciliatory","(adj.) making or willing to make concessions","If you're in a fight with a friend and you want to end it, you should make a conciliatory gesture, such as inviting her to a party you're having."
"8173970","dogmatic","(adj.) pertaining to a code of beliefs accepted as authoritative","To be dogmatic is to follow a set of rules no matter what. The rules might be religious, philosophical, or made-up, but dogmatic people would never waver in their beliefs so don’t even think of trying to change their minds."
"8173971","harangue","(n.) a loud bombastic declamation expressed with strong emotion","
A harangue is more than a speech, louder than a discussion, and nastier than a lecture. It is a verbal attack that doesn't let up, delivered as a verb or received as a noun. Either way, it's pretty unpleasant."
"8173972","luminous","(adj.) softly bright or radiant","During the winter holidays, with all their emphasis on light, you can see luminous displays of candles everywhere."
"8173973","alacrity","(n.) liveliness and eagerness","Someone with alacrity shows cheerful willingness and eager behavior, like a kid whose mother has told him he can buy anything in a candy store."
"8173974","condone","(vt.) excuse, overlook, or make allowances for","Some teachers condone chewing gum, and some don't."
"8173975","dormant","(adj.) inactive but capable of becoming active","Even dormant black holes warp space and time, scientists now say."
"8173976","homogeneous","(adj.) all of the same or similar kind or nature","Despite 55 recognized ethnic minorities, China is a broadly homogeneous nation where 91% of the 1.3 billion population are Han Chinese."
"8173977","magnanimity","(n.) liberality in bestowing gifts; extremely liberal and generous of spirit","He showed great magnanimity in not pressing charges when I drove his car into the pond. ""Accidents happen my friend,"" he said, and patted me on the back."
"8173978","alleviate","(v.) provide physical relief, as from pain","Do all these words make your head ache? If so, take an aspirin to alleviate, or relieve, your pain."
"8173979","confound","(v.) be confusing or perplexing to","If you have an identical twin, you've probably tried dressing alike so that people confound you with, or mistake you for, one another."
"8173980","dupe","(v.) fool or hoax","These cases may establish new legal avenues for investors who claim to have been duped by unscrupulous bankers."
"8173981","hyperbole","(n.) extravagant exaggeration","Praising your favorite sports team is one thing, but if you call the team the most incredible group of humans ever to walk the earth, then you're going overboard and indulging in hyperbole."
"8173982","malingerer","(n.) someone shirking duty by feigning illness or incapacity","
Have you ever pretended to be sick or hurt to get out of taking a test or doing a chore? Then you, my dear, are a malingerer, and should be ashamed of yourself. Shape up!"
"8173983","amalgamate","(v.) to bring or combine together or with something else","Institutions — such as banks, schools, or hospitals — often join forces and amalgamate with one other."
"8173984","connoisseur","(n.) an expert able to appreciate a field","He had become something of a gun connoisseur."
"8173985","ebullient","(adj.) joyously unrestrained","More than chipper, more than happy, more than delighted is ebullient — meaning bubbling over with joy and delight."
"8173986","iconoclastic","(adj.) characterized by attack on established beliefs or institutions","At the same theater, for only $35, you can see the iconoclastic British playwright Philip Ridley’s new dark comedy, “Radiant Vermin.”"
"8173987","malleable","(adj.) capable of being shaped or bent","A malleable personality is capable of being changed or trained, and a malleable metal is able to be pounded or pressed into various shapes."
"8173988","ambiguous","(adj.) having more than one possible meaning","If someone sends you an ambiguous text or one filled with typos, the bot might respond “not sure what you mean.”"
"8173989","contention","(n.) the act of competing as for profit or a prize","The teams were in fierce contention for first place."
"8173990","eclectic","(adj.) selecting what seems best of various styles or ideas","
She listens to hip-hop, Gregorian chant, and folk music from the '60s. He's been seen wearing a handmade tuxedo jacket over a thrift-store flannel shirt. They both have eclectic tastes."
"8173991","Idolatry","(n.) the worship of idols or images that are not God","Idolatry means the worship of images as if they were gods."
"8173992","maverick","(n.) someone who exhibits great independence in thought and action","Sheen suggested Trump's current success is down to ""people responding to something different, fresh, innovative and maverick."
"8173993","ambivalence","(n.) mixed feelings or emotions","If you love your mom but find her totally embarrassing, you might feel ambivalent about having her give a presentation at your school."
"8173994","contentious","(adj.) showing an inclination to disagree","A contentious issue is one that people are likely to argue about, and a contentious person is someone who likes to argue or fight."
"8173995","efficacy","(n.) capacity or power to produce a desired effect","The degree to which a method or medicine brings about a specific result is its efficacy. You might not like to eat it, but you can't question the efficacy of broccoli as a health benefit."
